,dataset,missingness_type,missing_rate,sudoku_rmse_mean,sudoku_rank_rmse,best_method_rmse,best_rmse_mean,rmse_gap_vs_best
0,arcene,mar,0.1,0.20466,2.0,mice,0.191722,0.012938
1,arcene,mar,0.2,0.22502,3.0,mice,0.209504,0.015516
2,arcene,mar,0.3,0.225483,2.0,mice,0.222384,0.003099
3,arcene,mar,0.4,0.230344,1.0,sudoku,0.230344,0.0
4,arcene,mar,0.5,0.278464,5.0,knn,0.253164,0.025301
5,arcene,mcar,0.1,0.184606,3.0,mice,0.173915,0.01069
6,arcene,mcar,0.2,0.189831,3.0,mice,0.181306,0.008524
7,arcene,mcar,0.3,0.200599,3.0,mice,0.191316,0.009283
8,arcene,mcar,0.4,0.21847,3.0,mice,0.200592,0.017878
9,arcene,mcar,0.5,0.233479,4.0,factorization,0.22469,0.008788
10,arcene,mnar,0.1,1.124033,1.0,sudoku,1.124033,0.0
11,arcene,mnar,0.2,1.151033,1.0,sudoku,1.151033,0.0
12,arcene,mnar,0.3,1.174668,1.0,sudoku,1.174668,0.0
13,arcene,mnar,0.4,1.188549,2.0,mice,1.187836,0.000712
14,arcene,mnar,0.5,1.187815,1.0,sudoku,1.187815,0.0
15,eeg,mar,0.1,0.006864,2.0,knn,0.006486,0.000378
16,eeg,mar,0.2,0.00755,1.0,sudoku,0.00755,0.0
17,eeg,mar,0.3,0.008255,4.0,knn,0.007877,0.000378
18,eeg,mar,0.4,0.010841,1.0,sudoku,0.010841,0.0
19,eeg,mar,0.5,0.010524,1.0,sudoku,0.010524,0.0
20,eeg,mcar,0.1,0.003094,2.0,knn,0.002762,0.000332
21,eeg,mcar,0.2,0.004314,2.0,knn,0.004175,0.000139
22,eeg,mcar,0.3,0.006629,1.0,sudoku,0.006629,0.0
23,eeg,mcar,0.4,0.00776,2.0,knn,0.007656,0.000104
24,eeg,mcar,0.5,0.008075,2.0,knn,0.007799,0.000276
25,eeg,mnar,0.1,0.082534,1.0,sudoku,0.082534,0.0
26,eeg,mnar,0.2,0.164966,1.0,sudoku,0.164966,0.0
27,eeg,mnar,0.3,0.24803,1.0,sudoku,0.24803,0.0
28,eeg,mnar,0.4,0.67337,1.0,sudoku,0.67337,0.0
29,eeg,mnar,0.5,0.673367,1.0,sudoku,0.673367,0.0
30,qsar,mar,0.1,0.076932,1.0,sudoku,0.076932,0.0
31,qsar,mar,0.2,0.093446,1.0,sudoku,0.093446,0.0
32,qsar,mar,0.3,0.106624,1.0,sudoku,0.106624,0.0
33,qsar,mar,0.4,0.11116,1.0,sudoku,0.11116,0.0
34,qsar,mar,0.5,0.130733,1.0,sudoku,0.130733,0.0
35,qsar,mcar,0.1,0.083116,1.0,sudoku,0.083116,0.0
36,qsar,mcar,0.2,0.085124,1.0,sudoku,0.085124,0.0
37,qsar,mcar,0.3,0.092099,1.0,sudoku,0.092099,0.0
38,qsar,mcar,0.4,0.104218,2.0,mice,0.103389,0.000829
39,qsar,mcar,0.5,0.141774,3.0,mice,0.118465,0.02331
40,qsar,mnar,0.1,0.858881,3.0,mice,0.70301,0.155871
41,qsar,mnar,0.2,0.883123,3.0,mice,0.702152,0.180972
42,qsar,mnar,0.3,0.894431,3.0,mice,0.718982,0.175449
43,qsar,mnar,0.4,0.897377,3.0,knn,0.726015,0.171363
44,qsar,mnar,0.5,0.892073,3.0,knn,0.725089,0.166985
