,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,-0.7854873811382042,0.636100146586102,0.11115967218228295,0.061580877034642725,296.425,296.425,0.4
missforest,-1.5185017906083176,0.6715654266755982,0.14149169315874438,0.07749511070621393,296.425,296.425,0.4
softimpute,-0.5443165471664366,0.5956689642921065,0.151684042478393,0.0895561254025209,296.425,296.425,0.4
factorization,-1.428419980799649,0.5307620157930547,0.1669594546432235,0.10208039547071224,296.425,296.425,0.4
mean,-0.31104605734094554,,0.1690847802720356,0.11385260061901577,296.425,296.425,0.4
median,-0.41736904639555916,,0.17831238516507386,0.09879809110174091,296.425,296.425,0.4
mice,-2.075246064796331,0.5831754602523601,0.1548393883933099,0.10669472255281973,296.425,296.425,0.4
knn,-0.9626683746364666,0.4717473573759921,0.135271717909422,0.07583968376905662,296.425,296.425,0.4
sudoku,-1.9528751534835358,0.5655260747857997,0.1307326109908423,0.0713092403901997,345.925,345.925,0.5
median,-0.4462099294896863,,0.17941693481392867,0.09998246787833705,345.925,345.925,0.5
mean,-0.3571890347358865,,0.1709090726187695,0.11532995466524468,345.925,345.925,0.5
missforest,-6.734758534977504,0.6126250328333548,0.17321794266816654,0.10252894882966275,345.925,345.925,0.5
softimpute,-1.3478211112438696,0.5210770180010683,0.1670034320670153,0.10011450525731051,345.925,345.925,0.5
knn,-2.027494503990414,0.40904104840783295,0.14490968242750096,0.08283343176223196,345.925,345.925,0.5
mice,-4.803497077322487,0.4913201249371099,0.17812840181125514,0.12347419429263248,345.925,345.925,0.5
factorization,-3.750692056641924,0.4750394510876435,0.18955988491149425,0.12062208496357259,345.925,345.925,0.5
sudoku,0.23145890992705093,0.7401308370763967,0.07693150224708706,0.041308980443121396,92.25,92.25,0.1
knn,0.13094165599468482,0.6384019797274373,0.09965795167033234,0.05375727212125284,92.25,92.25,0.1
mean,-0.2390157576794643,,0.1592046629018023,0.1076023805569866,92.25,92.25,0.1
missforest,0.5039469908369799,0.830862431026724,0.08025734382293852,0.035775178603449274,92.25,92.25,0.1
softimpute,0.23447583044107273,0.732240603313991,0.11299712996572422,0.06758708823307383,92.25,92.25,0.1
mice,-4.339009118635313,0.7172973404573542,0.15633136660713348,0.12292793509079099,92.25,92.25,0.1
median,-0.37532943816710007,,0.16882870399120614,0.09248993755659696,92.25,92.25,0.1
factorization,-0.07170560638313125,0.7118685959040972,0.116955456646186,0.0758109769464442,92.25,92.25,0.1
sudoku,0.13330668005163865,0.6958292053679329,0.09344619017708933,0.049593061962120065,169.1,169.1,0.2
mice,-1.3408202731961212,0.6520435817527751,0.15580210845330983,0.12061382820226293,169.1,169.1,0.2
missforest,0.3702021934207994,0.7644131495908394,0.08986321678994166,0.042803159281757895,169.1,169.1,0.2
softimpute,0.17754642388816078,0.686271372910153,0.126720200469417,0.07435455815607107,169.1,169.1,0.2
median,-0.38905483204458363,,0.17289420643619896,0.09513106311022744,169.1,169.1,0.2
knn,-0.05157176385294472,0.5764317301336436,0.1121274930443266,0.06182297508192595,169.1,169.1,0.2
factorization,-0.22225528141041645,0.6393272565143753,0.13636485522313935,0.0845899441668708,169.1,169.1,0.2
mean,-0.2577826774010503,,0.1634929831013139,0.11043075930933428,169.1,169.1,0.2
sudoku,-0.09937701587858758,0.6574806367180007,0.10662370749122038,0.05622970600594797,237.7,237.7,0.3
factorization,-0.651273728480582,0.5709903357433216,0.15409644154475594,0.09327337105077489,237.7,237.7,0.3
mice,-1.6675951136446934,0.5865668883569082,0.15988114298636302,0.11124439034643455,237.7,237.7,0.3
missforest,-0.26804493533642015,0.7114468570534281,0.12431905662722051,0.06565602641043548,237.7,237.7,0.3
softimpute,-0.1270995167454251,0.6310243111099613,0.1438801614957696,0.0831180078622489,237.7,237.7,0.3
median,-0.39778648270103606,,0.17830625528209904,0.09849779408949887,237.7,237.7,0.3
mean,-0.28382546929785785,,0.1687722752883435,0.11324000183147616,237.7,237.7,0.3
knn,-0.4315488721264319,0.5060568552827598,0.12962265855680483,0.07106888060774293,237.7,237.7,0.3
