,R2,RMSE,missingness_prop
missforest,-41.92385834423199,0.0030240766899743044,0.1
knn,0.33227662500689575,0.0027619225891166127,0.1
mice,-600.8615230910926,0.051947770904710845,0.1
median,-0.00732968882529315,0.003838976134494824,0.1
sudoku,-0.3934484779291613,0.0030940735326244044,0.1
mean,-0.005095996116007158,0.00383761859633502,0.1
softimpute,-468.56773088270955,0.06724719009437963,0.1
factorization,-44.47621836557607,0.0173859028736238,0.1
mice,-364.2581333415413,0.061061741190477976,0.2
softimpute,-616.0533621009821,0.09421576296593492,0.2
median,-0.006619267700085696,0.004667316833596146,0.2
mean,-0.012108432323185961,0.0046683117837678185,0.2
knn,0.15968428124666093,0.0041749565386792805,0.2
sudoku,-1.9456062484851804,0.0043139410764515655,0.2
factorization,-105.27999907920821,0.031943766898796584,0.2
missforest,-26.721853061513688,0.004630148141083658,0.2
sudoku,0.15582627090502665,0.00662924965754724,0.3
missforest,0.2644907704718969,0.006364927792683891,0.3
softimpute,-915.259324176951,0.11723723876007303,0.3
mean,-0.00038520007202771006,0.006939075642292404,0.3
factorization,-187.4672846214763,0.0522021535034849,0.3
knn,0.09325312979790351,0.0066319842960391485,0.3
median,-0.005413868917553577,0.006940259526682591,0.3
mice,-562.2998721393581,0.0927326343835397,0.3
mean,-0.00030358151962674623,0.007940949834799814,0.4
missforest,0.2435594190812976,0.0070710204506339485,0.4
softimpute,-761.0496601918248,0.13626613757065179,0.4
mice,-35.618085903222,0.028011724785068994,0.4
factorization,-191.12851825707253,0.07229004240240115,0.4
knn,0.07452081052377524,0.007655956268306068,0.4
median,-0.004434174386032053,0.00794363605557895,0.4
sudoku,0.10609540677809642,0.007760208266993023,0.4
knn,0.07022710140457288,0.007798517215024444,0.5
mice,-22.05044382562268,0.027929368369807136,0.5
missforest,0.11822903965728937,0.007987819972145323,0.5
softimpute,-808.5634015945888,0.1514251128298252,0.5
factorization,-312.9503160296531,0.0941121391097016,0.5
median,-0.003312223718546651,0.008093380829235388,0.5
sudoku,0.043324188285625946,0.008074835874867169,0.5
mean,-0.00015711655252181878,0.008095795330675754,0.5
